dblname	tag	index	value	filename
2000000	_atom_site_fract_y	35	1.0460(25)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	36	0.6118(57)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	37	0.5399(37)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	38	0.6434(56)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	39	1.3575(61)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	40	1.4135(49)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	41	1.3698(53)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	42	1.3532(52)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	43	1.3650(55)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	44	1.3399(59)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	45	0.8680(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	46	1.08111(1)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	47	1.0466(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	48	0.8389(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	49	1.1639(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	50	0.7938(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	51	0.8393(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	52	1.0466(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	53	1.0831(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	54	0.9221(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	55	1.2272(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	56	1.1095(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	57	1.3334(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	58	1.08111(1)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	59	1.0634(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	60	0.8257(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	61	1.2432(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	62	0.6558(3)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	63	1.0634(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	64	0.8257(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	65	1.2432(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	66	1.0767(52)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	67	1.0409(43)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	68	1.4191(32)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	69	1.3588(50)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	70	1.0831(2)	tests/cif2tsv_010.inp
2000000	_atom_site_fract_y	71	1.0576(4)	tests/cif2tsv_010.inp
