"Generators of the (3+1)-Dimensional Superspace Groups",,,,,,
"Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch",,,,,,
"November 2006",,,,,,
" ",,,,,,
"Group Symbol","Equivalent","Generator 1","Generator 2","Generator 3","Generator 4",
"28.3 Pma2(00g)ss0",,"-x1+1/2,x2,x3,x4+1/2","x1+1/2,-x2,x3,x4+1/2","-x1,-x2,x3,x4"," "," "
"28.4 Pma2(00g)0ss",,"-x1+1/2,x2,x3,x4","x1+1/2,-x2,x3,x4+1/2","-x1,-x2,x3,x4+1/2"," "," "
"28.5 Pma2(01/2g)","0ss","-x1+1/2,x2,x3,x4","x1+1/2,-x2,x3,-x2+x4","-x1,-x2,x3,-x2+x4"," "," "
"28.6 Pma2(01/2g)s0s","ss0","-x1+1/2,x2,x3,x4+1/2","x1+1/2,-x2,x3,-x2+x4","-x1,-x2,x3,-x2+x4+1/2"," "," "
"28.7 Pm2a(01/2g)",,"-x1+1/2,x2,x3,x4","-x1,x2,-x3,x2-x4","x1+1/2,x2,-x3,x2-x4"," "," "
"28.8 Pm2a(01/2g)s00",,"-x1+1/2,x2,x3,x4+1/2","-x1,x2,-x3,x2-x4","x1+1/2,x2,-x3,x2-x4+1/2"," "," "
"28.9 Pc2m(01/2g)","s00","-x1,x2,x3+1/2,x4","-x1,x2,-x3,x2-x4","x1,x2,-x3+1/2,x2-x4"," "," "
"28.10 P2cm(00g)","0s0","x1,-x2,-x3,-x4","x1,-x2,x3+1/2,x4","x1,x2,-x3+1/2,-x4"," "," "
"28.11 P2mb(00g)",,"x1,-x2,-x3,-x4","x1,-x2+1/2,x3,x4","x1,x2+1/2,-x3,-x4"," "," "
"28.12 P2mb(00g)0s0",,"x1,-x2,-x3,-x4","x1,-x2+1/2,x3,x4+1/2","x1,x2+1/2,-x3,-x4+1/2"," "," "
"28.13 P2cm(01/2g)","0s0","x1,-x2,-x3,-x4","x1,-x2,x3+1/2,-x2+x4","x1,x2,-x3+1/2,x2-x4"," "," "
"28.14 P2cm(1/21/2g)","0s0","x1,-x2,-x3,x1-x4","x1,-x2,x3+1/2,-x2+x4","x1,x2,-x3+1/2,x1+x2-x4"," "," "
"29.1 Pca2_1(00g)","s0s","-x1+1/2,x2,x3+1/2,x4","x1+1/2,-x2,x3,x4","-x1,-x2,x3+1/2,x4"," "," "
"29.2 Pca2_1(00g)0ss","ss0","-x1+1/2,x2,x3+1/2,x4","x1+1/2,-x2,x3,x4+1/2","-x1,-x2,x3+1/2,x4+1/2"," "," "
"29.3 Pca2_1(01/2g)","0ss,s0s,ss0","-x1+1/2,x2,x3+1/2,x4","x1+1/2,-x2,x3,-x2+x4","-x1,-x2,x3+1/2,-x2+x4"," "," "
"29.4 P2_1ca(00g)","0s0","x1+1/2,-x2,-x3,-x4","x1,-x2,x3+1/2,x4","x1+1/2,x2,-x3+1/2,-x4"," "," "
"29.5 P2_1ab(00g)",,"x1+1/2,-x2,-x3,-x4","x1+1/2,-x2+1/2,x3,x4","x1,x2+1/2,-x3,-x4"," "," "
"29.6 P2_1ab(00g)0s0",,"x1+1/2,-x2,-x3,-x4","x1+1/2,-x2+1/2,x3,x4+1/2","x1,x2+1/2,-x3,-x4+1/2"," "," "
"29.7 P2_1ca(01/2g)","0s0","x1+1/2,-x2,-x3,-x4","x1,-x2,x3+1/2,-x2+x4","x1+1/2,x2,-x3+1/2,x2-x4"," "," "
"30.1 Pcn2(00g)","ss0","-x1+1/2,x2,x3+1/2,x4","x1+1/2,-x2,x3+1/2,x4","-x1,-x2,x3,x4"," "," "
"30.2 Pcn2(00g)s0s","0ss","-x1+1/2,x2,x3+1/2,x4+1/2","x1+1/2,-x2,x3+1/2,x4","-x1,-x2,x3,x4+1/2"," "," "
"30.3 Pcn2(01/2g)","0ss,s0s,ss0","-x1+1/2,x2,x3+1/2,x4","x1+1/2,-x2,x3+1/2,-x2+x4","-x1,-x2,x3,-x2+x4"," "," "
"30.4 P2na(00g)","0s0","x1,-x2,-x3,-x4","x1+1/2,-x2,x3+1/2,x4","x1+1/2,x2,-x3+1/2,-x4"," "," "
"30.5 P2an(00g)",,"x1,-x2,-x3,-x4","x1+1/2,-x2+1/2,x3,x4","x1+1/2,x2+1/2,-x3,-x4"," "," "
"30.6 P2an(00g)0s0",,"x1,-x2,-x3,-x4","x1+1/2,-x2+1/2,x3,x4+1/2","x1+1/2,x2+1/2,-x3,-x4+1/2"," "," "
"30.7 P2na(01/2g)","0s0","x1,-x2,-x3,-x4","x1+1/2,-x2,x3+1/2,-x2+x4","x1+1/2,x2,-x3+1/2,x2-x4"," "," "
"30.8 P2an(1/21/2g)0q0",,"x1,-x2,-x3,x1-x4","x1+1/2,-x2+1/2,x3,-x2+x4+3/4","x1+1/2,x2+1/2,-x3,x1+x2-x4+3/4"," "," "
"31.1 Pmn2_1(00g)","0ss","-x1,x2,x3,x4","x1+1/2,-x2,x3+1/2,x4","-x1+1/2,-x2,x3+1/2,x4"," "," "
"31.2 Pmn2_1(00g)s0s","ss0","-x1,x2,x3,x4+1/2","x1+1/2,-x2,x3+1/2,x4","-x1+1/2,-x2,x3+1/2,x4+1/2"," "," "
"31.3 Pmn2_1(01/2g)","0ss","-x1,x2,x3,x4","x1+1/2,-x2,x3+1/2,-x2+x4","-x1+1/2,-x2,x3+1/2,-x2+x4"," "," "
"31.4 Pmn2_1(01/2g)s0s","ss0","-x1,x2,x3,x4+1/2","x1+1/2,-x2,x3+1/2,-x2+x4","-x1+1/2,-x2,x3+1/2,-x2+x4+1/2"," "," "
"31.5 P2_1nm(00g)","0s0","x1+1/2,-x2,-x3+1/2,-x4","x1+1/2,-x2,x3+1/2,x4","x1,x2,-x3,-x4"," "," "
"31.6 P2_1mn(00g)",,"x1+1/2,-x2+1/2,-x3,-x4","x1,-x2,x3,x4","x1+1/2,x2+1/2,-x3,-x4"," "," "
"31.7 P2_1mn(00g)0s0",,"x1+1/2,-x2+1/2,-x3,-x4","x1,-x2,x3,x4+1/2","x1+1/2,x2+1/2,-x3,-x4+1/2"," "," "
"31.8 P2_1nm(01/2g)","0s0","x1+1/2,-x2,-x3+1/2,-x4","x1+1/2,-x2,x3+1/2,-x2+x4","x1,x2,-x3,x2-x4"," "," "
"32.1 Pba2(00g)",,"-x1+1/2,x2+1/2,x3,x4","x1+1/2,-x2+1/2,x3,x4","-x1,-x2,x3,x4"," "," "
"32.2 Pba2(00g)s0s","0ss","-x1+1/2,x2+1/2,x3,x4+1/2","x1+1/2,-x2+1/2,x3,x4","-x1,-x2,x3,x4+1/2"," "," "
"32.3 Pba2(00g)ss0",,"-x1+1/2,x2+1/2,x3,x4+1/2","x1+1/2,-x2+1/2,x3,x4+1/2","-x1,-x2,x3,x4"," "," "
"32.4 Pba2(1/21/2g)qq0","qqs","-x1+1/2,x2+1/2,x3,-x1+x4+3/4","x1+1/2,-x2+1/2,x3,-x2+x4+3/4","-x1,-x2,x3,-x1-x2+x4"," "," "
"32.5 Pc2a(01/2g)","s00","-x1+1/2,x2,x3+1/2,x4","-x1,x2,-x3,x2-x4","x1+1/2,x2,-x3+1/2,x2-x4"," "," "
"32.6 P2cb(00g)","0s0","x1,-x2,-x3,-x4","x1,-x2+1/2,x3+1/2,x4","x1,x2+1/2,-x3+1/2,-x4"," "," "
"33.1 Pbn2_1(00g)","0ss","-x1+1/2,x2+1/2,x3,x4","x1+1/2,-x2+1/2,x3+1/2,x4","-x1,-x2,x3+1/2,x4"," "," "
"33.2 Pbn2_1(00g)s0s","ss0","-x1+1/2,x2+1/2,x3,x4+1/2","x1+1/2,-x2+1/2,x3+1/2,x4","-x1,-x2,x3+1/2,x4+1/2"," "," "
"33.3 Pbn2_1(1/21/2g)qq0","qqs","-x1+1/2,x2+1/2,x3,-x1+x4+3/4","x1+1/2,-x2+1/2,x3+1/2,-x2+x4+3/4","-x1,-x2,x3+1/2,-x1-x2+x4"," "," "
"33.4 P2_1nb(00g)","0s0","x1+1/2,-x2,-x3,-x4","x1+1/2,-x2+1/2,x3+1/2,x4","x1,x2+1/2,-x3+1/2,-x4"," "," "
"33.5 P2_1cn(00g)","0s0","x1+1/2,-x2,-x3,-x4","x1,-x2+1/2,x3+1/2,x4","x1+1/2,x2+1/2,-x3+1/2,-x4"," "," "
"34.1 Pnn2(00g)","ss0","-x1+1/2,x2+1/2,x3+1/2,x4","x1+1/2,-x2+1/2,x3+1/2,x4","-x1,-x2,x3,x4"," "," "
"34.2 Pnn2(00g)s0s","0ss","-x1+1/2,x2+1/2,x3+1/2,x4+1/2","x1+1/2,-x2+1/2,x3+1/2,x4","-x1,-x2,x3,x4+1/2"," "," "
"34.3 Pnn2(1/21/2g)qq0","qqs","-x1+1/2,x2+1/2,x3+1/2,-x1+x4+3/4","x1+1/2,-x2+1/2,x3+1/2,-x2+x4+3/4","-x1,-x2,x3,-x1-x2+x4"," "," "
"34.4 P2nn(00g)","0s0","x1,-x2,-x3,-x4","x1+1/2,-x2+1/2,x3+1/2,x4","x1+1/2,x2+1/2,-x3+1/2,-x4"," "," "
"34.5 P2nn(1/21/2g)0q0",,"x1,-x2,-x3,x1-x4","x1+1/2,-x2+1/2,x3+1/2,-x2+x4+3/4","x1+1/2,x2+1/2,-x3+1/2,x1+x2-x4+3/4"," "," "
"35.1 Cmm2(00g)",,"-x1,x2,x3,x4","x1,-x2,x3,x4","-x1,-x2,x3,x4"," "," "
"35.2 Cmm2(00g)s0s","0ss","-x1,x2,x3,x4+1/2","x1,-x2,x3,x4","-x1,-x2,x3,x4+1/2"," "," "
"35.3 Cmm2(00g)ss0",,"-x1,x2,x3,x4+1/2","x1,-x2,x3,x4+1/2","-x1,-x2,x3,x4"," "," "
"35.4 Cmm2(10g)",,"-x1,x2,x3,-2x1+x4","x1,-x2,x3,x4","-x1,-x2,x3,-2x1+x4"," "," "
"35.5 Cmm2(10g)s0s","0ss","-x1,x2,x3,-2x1+x4+1/2","x1,-x2,x3,x4","-x1,-x2,x3,-2x1+x4+1/2"," "," "
"35.6 Cmm2(10g)ss0",,"-x1,x2,x3,-2x1+x4+1/2","x1,-x2,x3,x4+1/2","-x1,-x2,x3,-2x1+x4"," "," "
"35.7 A2mm(00g)",,"x1,-x2,-x3,-x4","x1,-x2,x3,x4","x1,x2,-x3,-x4"," "," "
"35.8 A2mm(00g)0s0",,"x1,-x2,-x3,-x4","x1,-x2,x3,x4+1/2","x1,x2,-x3,-x4+1/2"," "," "
"35.9 A2mm(1/20g)",,"x1,-x2,-x3,x1-x4","x1,-x2,x3,x4","x1,x2,-x3,x1-x4"," "," "
"35.10 A2mm(1/20g)0s0",,"x1,-x2,-x3,x1-x4","x1,-x2,x3,x4+1/2","x1,x2,-x3,x1-x4+1/2"," "," "
"36.1 Cmc2_1(00g)","0ss","-x1,x2,x3,x4","x1,-x2,x3+1/2,x4","-x1,-x2,x3+1/2,x4"," "," "
